id,name
894,RT Group
899,The Procter & Gamble Company
906,Test
908,"Rituals Cosmetics USA, Inc."
910,"Zhejiang Yiwu Lucy Cosmetics Co.,Ltd."
913,Ninghai Jixiang stationery Factory
915,Dongguan Changping Mei Ya Cosmetics Factory
920,Alessandro International GmbH
931,Deborah Lippmann
922,"Calibre Beaut�, a division of Quadrant Cosmetics Corp."
939,Laboratoires Dr N.G PAYOT
942,"Novelty, Inc."
896,"NYX Los Angeles, Inc."
943,Too Faced Cosmetics
945,"Yantai Dupont Daily Necessities Co., Ltd."
1049,Japonesque
950,I Love Cosmetics Limited
955,Amway Corporation
1062,Paula's Choice LLC.
956,"Guthy-Renker, LLC"
967,"Modere, Inc."
968,Space Brands Limited
976,"Crabtree & Evelyn, Ltd"
978,The Mentholatum Company
984,Interparfums
985,High Ridge Brands
986,"Express, LLC"
997,Lush Ltd
465,Urban Decay Cosmetics
1003,Alqvimia
1005,Aesop USA Inc.
1008,Rodan + Fields
1009,"Enchante Accessories, Inc."
983,"Hatchbeauty Products, LLC"
1012,Frank Body
1011,Shiseido Americas Corporation
1010,Kryolan Corporation
1015,Upper Canada Soap & Candle Makers Corp.
1017,label.m USA INC
1023,"Guangzhou Zixuan Beauty Equipment Co.,Ltd"
1027,"Hand & Nail Harmony, Inc"
1029,Red Carpet Manicure
1030,Artistic Nail Design - Nail Alliance LLC
1033,"Nail Alliance, LLC"
1035,Nail Alliance - Entity
1034,"NeoStrata Company, Inc., a Johnson & Johnson Company"
1000,MAESA LLC
1044,"Perfect Angel Cosmetics & Health Co., Limited"
1048,Yes To Inc.
1046,Walt Disney Parks & Resorts
1051,Nudestix
1055,The Himalaya Drug Company
1056,Sexy Hair Concepts
1058,RMS Beauty
1063,Luxury Brand Partners
1064,Tweezerman International LLC
1028,"APLICARE, INC"
1066,Black Up
1069,"eos Products, LLC"
1071,Soma
1073,ALPHAEON Corporation
1076,AMOREPACIFIC US INC.
1077,M.T. MOCARA GmbH
1081,"La Prairie, Inc."
1031,"KOS� America, Inc."
1082,Brodie & Stone
1084,Labo International srl
1086,"Arcadia Beauty Labs, LLC"
1088,Hollywood Alliance
1090,Milk Make-up
1094,We are Luxe Ltd.
1096,Malin & Goetz
1101,Reforma Group
1103,Too Faced Cosmetics
1102,"FELPS USA, INC"
1106,Saje Natural Business Inc.
1107,"SD Biotechnologies USA, Inc."
1113,Imperial Dax Hair Care Inc.
1115,Person & Covey
1117,Fantasia Industries
1328,House of Cheatham
1125,Michel Design Works
1119,Trader Joe's Company
1129,Drunk Elephant LLC
1128,Chrome Hearts LLC
1133,Cosmetic Dermatology Inc
1135,"Creative Nail Design, Inc."
1136,Herbswork CC
1140,Townley Inc
1142,"Centric Beauty, LLC"
1144,PPP&C Inc.
1154,Charlotte Tilbury Beauty Ltd
1149,MAVALA S.A.
1148,American International Industries
1157,SERYSI USA INC
1159,MILANI COSMETICS
1160,"Dr. Hauschka Skin Care, Inc."
1161,Zelens
1163,Memebox Corporation
1092,"Vi-Jon, Inc"
1164,"Perfect Angel Cosmetics & Health Co., Limited"
1178,Apollo Health and Beauty Care Inc.
1177,Spa de Soleil
1179,"BioTouch, Inc."
1169,"Trademark Cosmetics, Inc."
547,Ca-botana International
1180,"DLC Laboratories, Inc."
1183,FMK Labs
1187,"Perfect Angel Cosmetics & Health CO., Limited"
1188,BULGARI GLOBAL OPERATIONS SA
1189,Cover FX Skincare Inc
1192,"Pearlosophy USA, LLC"
1199,Borboleta Beauty
1202,Wahl Clipper Corp.
1204,HUDA BEAUTY
1207,HUDA BEAUTY
1209,The Honest Company
1210,Tatcha LLC
1196,PLCosmetic
1212,Townley Inc
1214,OSEA Malibu
1215,Fresh Inc
1206,ACQUA DI PARMA
1217,Hello Body GmbH
1213,Too Faced Cosmetics
1218,ZOEVA GmbH
1220,LG Household & Health Care America Inc.
1221,BEST ACCESSORY GROUP
1226,"JINHUA B&F COSMETICS CO., LTD."
1222,2355644 Ontario Inc.
1228,"ALBION COSMETICS (America), Inc."
1231,MAKE UP FOR EVER
1229,DBA SAS
1239,"Live Flickable, LLC"
1241,Perricone MD
1236,Farmaceutici dott. Ciccarelli SpA
1242,Too Faced Cosmetics
1244,The Lano Company
1245,Mirabella
1246,"MTG Co., Ltd."
1250,"NINGBO MEITELI COSMETICS CO.,LTD."
1255,Dollar Shave Club
1254,Combe Incorporated
1256,eSalon.com LLC
1257,"Rea.deeming Beauty, Inc."
1259,"Yanbal USA, Inc"
1261,Ladove Inc
1262,MakingCosmetics Inc.
1263,Carma Laboratories
1268,Hayashi Worldwide
1266,"Bielle Cosmetics, Inc"
1273,"Whisk Products, Inc"
1271,"Aloe Vera of America, Inc."
1198,"Edgewell Personal Care Brands, LLC"
1274,Sunflower Distributing
1277,MANA Products Inc.
1279,Your Name Professional Brands
1280,Taste Beauty LLC
1270,Shikai Products
1289,InstaNatural LLC
1292,Pharmco Laboratories
12,"USANA Health Sciences, Inc."
1248,MOMOTANI JUNTENKAN LTD.
1282,INGLOT USA LLC
1276,Duri Cosmetics Inc
1296,"Ningbo Rejoice I/E Co., Ltd."
1272,"VB Cosmetics, Inc."
1301,"Ultimate Face Cosmetics, INC"
1305,Robanda International
1267,Lornamead
1306,Pfizer Consumer Healthcare
1310,Market Ready
1313,COLBERT+
1316,Ultraceuticals Pty Ltd
1311,Rainbow Cosmetics Manchester Ltd
1317,"G.O Holdings, Inc."
1321,"Giovanni Cosmetics, Inc."
1309,"PETLAB COSMETICS, LLC"
926,Orly International
1335,The Nature's Bounty Company
1338,"H2O Plus, LLC"
1334,Pacha Soap Co.
1341,"Oceana USA, Inc."
1339,Beach House Group
1346,Oribe Hair Care LLC
1347,"IT Girl Beauty, LLC"
1349,H&M GUTBERLET GMBH
1332,Stila Style LLC.
1342,Herbswork CC
1352,"SanMedica International, LLC"
1356,"INTERPARFUMS USA, LLC"
420,"E. Excel, LLC"
1357,"StriVectin Operating Company, Inc."
1358,"Jiangxi Iris Chemical Co.,Ltd"
1377,"DND Daisy Nail Products, Inc."
1379,"Zschimmer & Schwarz, Inc."
1388,Cosmopharm Ltd.
1390,"Guangzhou Baiyun Darong Fine Chemical Industry Co.,Ltd."
1391,Turquise Global LLC
