id,chemical_name,cas_id,cas_number,created_at,updated_at,date_removed
64051,Carbon black,1104,1333-86-4,2019-09-06,2019-09-06,
64054,Carbon black,1104,1333-86-4,2019-09-06,2019-09-06,
64055,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64056,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64057,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-06,2019-09-06,
64058,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64059,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-06,2019-09-06,
64060,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64061,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-06,2019-09-06,
64062,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64063,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-06,2019-09-06,
64064,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64065,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-06,2019-09-06,
64066,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64067,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64068,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64069,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64070,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64071,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64072,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64073,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64074,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64075,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64077,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64076,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64078,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64079,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64080,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64081,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-06,2019-09-06,
64082,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64083,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-06,2019-09-06,
64088,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64084,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64085,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-06,2019-09-06,
64086,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64087,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-06,2019-09-06,
64089,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64090,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-06,2019-09-06,
64091,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64092,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-06,2019-09-06,
64093,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64094,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64095,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64096,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64097,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-06,2019-09-06,
64098,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64099,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-06,2019-09-06,
64100,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64101,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64102,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64103,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64104,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64105,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64106,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64107,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64108,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64109,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64110,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-06,2019-09-06,
64111,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-06,2019-09-06,
64112,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64113,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-06,2019-09-06,
64114,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64115,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-06,2019-09-06,
64116,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64117,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-06,2019-09-06,
64118,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-06,2019-09-06,
64119,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64120,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64121,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64122,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64123,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64124,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-06,2019-09-06,
64125,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64126,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-06,2019-09-06,
64127,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64128,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-06,2019-09-06,
64129,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
64130,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-06,2019-09-06,
64131,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-06,2019-09-06,
